Säsong,Datum,Hemmalag,Bortalag,MålHemmalag,Målbortalag,Förlängning,Omgång,Plats,Publik
2019-2020,2019-11-27,Skara IBK,Falköpings IBK,17,1,,10,"Vilanhallen, Skara",130
2019-2020,2019-11-01,BK Halna,Falköpings IBK,15,4,,6,"Idrottshallen, Töreboda",130
2019-2020,2019-10-26,Sandareds IBS,Stöpen IBK,14,4,,5,Almåshallen - Borås,101
2019-2020,2020-02-21,Skara IBK,IBK Vänersborg,13,4,,20,"Vilanhallen, Skara",148
2019-2020,2020-02-22,Sandareds IBS,Tranemo IBK,13,3,,20,Almåshallen - Borås,257
2019-2020,2020-02-01,IBK Vänersborg,Rydboholms SK,12,9,,17,"Idrottshuset, Vänersborg",189
2019-2020,2020-02-07,Rydboholms SK,Falköpings IBK,12,7,,18,"Idrottshallen, Viskafors",62
2019-2020,2020-02-15,Sandareds IBS,IBK Tygriket 99,12,3,,19,Almåshallen - Borås,155
2019-2020,2019-11-16,Borås IBF,Falköpings IBK,11,4,,8,"Daltorphallen, Borås",103
2019-2020,2019-09-20,Skara IBK,Rydboholms SK,10,1,,1,"Vilanhallen, Skara",162
2019-2020,2019-09-21,Sandareds IBS,Falköpings IBK,10,3,,1,Almåshallen - Borås,91
2019-2020,2019-09-28,IBK Tygriket 99,Stöpen IBK,10,4,,2,Öxabäckshallen,258
2019-2020,2019-11-01,Rydboholms SK,IBK Vänersborg,10,15,,6,"Idrottshallen, Viskafors",52
2019-2020,2020-01-18,IBK Vänersborg,Falköpings IBK,10,7,,15,"Idrottshuset, Vänersborg",201
2019-2020,2020-01-25,IBK Tygriket 99,Falköpings IBK,10,5,,16,Öxabäckshallen,0
2019-2020,2020-02-21,Vara IBK,Wårgårda IBK,10,4,,20,"Alléhallen, Vara",375
2019-2020,2020-02-22,Stöpen IBK,Falköpings IBK,10,2,,20,"Stöpenhallen, Skövde",91
2019-2020,2019-09-21,Stöpen IBK,Borås IBF,9,6,,1,"Stöpenhallen, Skövde",101
2019-2020,2019-10-12,Wårgårda IBK,Falköpings IBK,9,7,,3,"Sporthallen, Vårgårda",0
